Date,Hotel Occupancy
2017-06-14,201
2017-06-15,221
2017-06-16,206
2017-06-17,214
2017-06-18,212
2017-06-19,201
2017-06-20,205
2017-06-21,204
2017-06-22,219
2017-06-23,214
2017-06-24,225
2017-06-25,209
2017-06-26,219
2017-06-27,199
2017-06-28,203
2017-06-29,201
2017-06-30,229
2017-07-01,227
2017-07-02,208
2017-07-03,207
2017-07-04,202
2017-07-05,207
2017-07-06,214
2017-07-07,211
2017-07-08,218
2017-07-09,239
2017-07-10,224
2017-07-11,227
2017-07-12,221
2017-07-13,222
2017-07-14,221
2017-07-15,223
2017-07-16,210
2017-07-17,201
2017-07-18,214
2017-07-19,207
2017-07-20,209
2017-07-21,207
2017-07-22,204
2017-07-23,212
2017-07-24,220
2017-07-25,215
2017-07-26,201
2017-07-27,213
2017-07-28,213
2017-07-29,215
2017-07-30,214
2017-07-31,211
2017-08-01,212
2017-08-02,213
2017-08-03,213
2017-08-04,215
2017-08-05,221
2017-08-06,224
2017-08-07,226
2017-08-08,222
2017-08-09,208
2017-08-10,212
2017-08-11,208
2017-08-12,219
2017-08-13,223
2017-08-14,212
2017-08-15,216
2017-08-16,217
2017-08-17,228
2017-08-18,219
2017-08-19,223
2017-08-20,220
2017-08-21,219
2017-08-22,215
2017-08-23,212
2017-08-24,220
2017-08-25,217
2017-08-26,216
2017-08-27,226
2017-08-28,220
2017-08-29,195
2017-08-30,201
2017-08-31,215
