Date,Hotel Occupancy
2017-05-17,302
2017-05-18,299
2017-05-19,296
2017-05-20,310
2017-05-21,292
2017-05-22,302
2017-05-23,293
2017-05-24,325
2017-05-25,310
2017-05-26,303
2017-05-27,279
2017-05-28,289
2017-05-29,263
2017-05-30,242
2017-05-31,247
2017-06-01,271
2017-06-02,289
2017-06-03,295
2017-06-04,275
2017-06-05,291
2017-06-06,281
2017-06-07,276
2017-06-08,300
2017-06-09,307
2017-06-10,261
2017-06-11,298
2017-06-12,266
2017-06-13,253
2017-06-14,270
2017-06-15,291
2017-06-16,284
2017-06-17,287
2017-06-18,273
2017-06-19,272
2017-06-20,283
2017-06-21,274
2017-06-22,292
2017-06-23,283
2017-06-24,253
2017-06-25,310
2017-06-26,265
2017-06-27,317
2017-06-28,292
2017-06-29,280
2017-06-30,282
2017-07-01,275
2017-07-02,276
2017-07-03,274
2017-07-04,323
2017-07-05,265
2017-07-06,325
2017-07-07,291
2017-07-08,280
2017-07-09,296
2017-07-10,295
2017-07-11,288
2017-07-12,295
2017-07-13,325
2017-07-14,268
2017-07-15,325
2017-07-16,285
2017-07-17,295
2017-07-18,288
2017-07-19,271
2017-07-20,281
2017-07-21,288
2017-07-22,313
2017-07-23,279
2017-07-24,313
2017-07-25,273
2017-07-26,286
2017-07-27,283
2017-07-28,273
2017-07-29,297
2017-07-30,263
2017-07-31,268
2017-08-01,270
2017-08-02,283
2017-08-03,302
2017-08-04,290
2017-08-05,274
2017-08-06,260
2017-08-07,297
2017-08-08,270
2017-08-09,296
2017-08-10,282
2017-08-11,266
2017-08-12,308
2017-08-13,278
2017-08-14,274
2017-08-15,289
2017-08-16,280
2017-08-17,284
2017-08-18,284
2017-08-19,288
2017-08-20,295
2017-08-21,283
2017-08-22,263
2017-08-23,282
2017-08-24,284
2017-08-25,325
2017-08-26,284
2017-08-27,302
2017-08-28,299
2017-08-29,273
2017-08-30,246
2017-08-31,250
